lat,lon
51.658,14.22202
51.86945,13.9678
51.63671,13.7058
52.40976,13.02981
52.42100470000001,13.0695577
52.3592858,13.0227413
52.41578,12.41549
52.13691,12.58687
52.09153,13.17252
52.3641999,14.52967
52.2992708,13.6253117
52.09088,14.65042
52.0289,13.888979999999998
51.75936,13.80289
52.92913000000001,13.86128
53.05844,14.26946
53.09448,12.89793
52.89645,12.55233
52.51656,13.40519
52.52234,13.40809
52.52355,13.4059
52.53254,13.32534
52.520075,13.2998139
52.51018000000001,13.3754
52.48842,13.410479999999998
52.46456,13.43596
52.47928,13.43084
52.44662,13.623870000000002
52.54244,13.46972
52.54244,13.46972
52.54345,13.35946
52.54066,13.20655
49.49579,8.48987
49.40199000000001,8.57865
49.38467,8.57242
49.3185,8.5517
49.41271,8.70969
49.4131799,8.71344
49.42136,8.73991
49.4049,8.6402
49.55374000000001,8.6698799
48.77572,9.1737
48.78027,9.16694
48.76778,9.1705
48.77279,9.17446
48.77286,9.17243
48.76971,9.17607
48.762,9.15667
48.72257000000001,9.16147
48.69185,9.1682
48.67942,9.21815
48.68568,9.01619
48.78669,9.00036
48.8265,9.06649
48.76981,8.85121
48.90055,9.37237
48.8992,9.18881
48.89243,9.18626
48.94114,9.25736
48.51938,9.05862
48.49517,8.80969
48.50488,8.778549900000002
48.40885,9.06565
48.48192,8.88713
48.49409,8.72156
48.4636,8.4118099
48.34579,8.40329
48.2866799,8.72357
48.35454,8.9764
48.21053,9.02585
48.09116,9.20667
48.00484,9.1986899
48.18841,9.27732
48.49198,9.5092
48.62975,9.33391
48.30821,9.24563
48.70792,9.5759399
48.61353,9.84122
48.59539,9.64231
48.83858,10.09869
48.85055,10.09907
48.89398,10.00688
48.91876,9.8918
48.9598299,10.1384
48.92757,10.067399900000002
48.78577,9.93666
48.80674000000001,9.53157
48.74118,9.31011
49.19356,9.22518
48.94874,9.098699900000002
48.95464000000001,9.12861
48.99844,9.7724
49.10598,9.73336
49.11072,9.73301
49.14202,10.0581099
49.34933,9.91635
49.3855,10.06755
49.23466,10.11869
49.46042,9.57446
49.3999456,9.5516559
49.351000000000006,9.1417
49.39038,9.26567
49.23926,8.90499
49.23819,9.11213
49.31901,8.822980000000003
49.29759,8.920060000000003
49.29765,8.91798
49.37303,8.87841
49.29586,8.82417
49.29586,8.82417
49.13769,8.90845
48.88846,8.69769
48.8885999,8.69508
48.88683,8.70571
48.74586,8.80648
48.95131,8.8419
48.88801,8.851
48.76094000000001,8.2399799
48.94163,8.40485
48.88314,8.508980000000001
48.88941,8.32382
48.92547,8.47818
49.07392,8.383980000000001
49.09004,8.403260000000001
48.84933,8.21165
48.85818,8.20947
48.80465,8.316419999999999
49.12289000000001,8.59908
48.47286,7.95225
48.3364,8.0364799
48.58,8.04905
48.27922,7.85987
48.2015,8.23367
47.9516599,8.500689999999999
47.92719,8.4504
47.66494,9.17498
47.68556,9.20807
48.0053399,8.776760000000001
48.02562,8.7733
48.1667,8.53222
47.99334,7.85265
47.99371,7.84946
47.98934000000001,7.859889999999999
48.08911,7.9587
48.1751099,8.06974
47.96247,7.75998
48.1492015,7.7546301999999985
47.61144,7.66397
47.68298,8.157739999999999
47.86125,8.22383
47.79544,8.24497
47.65678,9.65884
47.67156,9.5888899
47.6063199,9.60608
47.78193,9.62138
47.82333,10.02403
47.69635,10.04329
47.95092,9.63771
47.7368499,9.89066
47.92603,9.42022
48.0991,9.78675
48.00409000000001,9.65821
48.06329,9.83267
48.22936,9.88614
48.21505,9.51675
48.07771,9.39926
48.2312299,9.46115
48.39782,9.98972
48.4009,9.99343
48.4067099,9.98806
48.39518,9.95595
48.48594,10.02782
48.30269000000001,9.90037
48.66975,10.23545
